date,avg_temp,wind_sp,rel_hum,max_temp,min_temp,atm_press,global_rad,total_col_vat_wap_kg
20220323,8.3,1.4,45,20.1,-3.8,1004.9,18913,0
20220324,9.3,1.2,43,18.3,-2.8,1001.3,18275,0
20220510,16.4,0.4,51,24.2,7.4,996.2,23044,0
20220518,13.5,2.2,46,19.9,9.8,1002.5,30111,0
20220519,16.3,1.8,45,24.3,3.8,1000.5,29656,0
20220612,20.7,1.1,57,27.3,11.9,995.2,27982,0
20220619,24.1,4.0,48,29.4,15.4,989.4,29556,0
20220620,20.6,2.9,77,29.5,16.2,985.6,16052,0
20220627,26.0,2.2,53,32.7,16.6,991.3,28093,0
20220721,28.7,2.5,40,35.9,15.2,992.9,27004,0
20220722,26.4,1.8,49,32.6,20.7,992.9,27224,0
20220815,23.4,1.3,64,30.1,15.2,982.3,14309,0
20220908,19.9,3.0,73,28.0,14.2,986.3,13474,0
20221009,9.4,1.0,73,16.5,6.5,990.1,14124,0
20221018,13.7,1.8,78,19.8,6.4,1000.5,10890,0
20220923,9.0,1.0,70,16.9,2.8,994.7,0,0
20220203,3.5,2.5,74,6.1,0.0,998.1,0,0
20220511,19.7,2.0,50,27.2,10.0,991.4,0,0
